country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","24-11-2025 19:00:00",28.206800,76.799700,NO2,15,52,38
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","24-11-2025 19:00:00",28.206800,76.799700,NH3,9,26,19
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","24-11-2025 19:00:00",28.206800,76.799700,SO2,10,22,15
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","24-11-2025 19:00:00",28.39072,77.30059,PM2.5,221,282,232
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","24-11-2025 19:00:00",30.7057778,76.8531805555555,OZONE,19,34,25
India,Haryana,Panipat,"Sector-18, Panipat - HSPCB","24-11-2025 19:00:00",29.432304,76.972765,CO,16,48,42
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","24-11-2025 19:00:00",28.52123,76.37138,PM10,86,134,104
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","24-11-2025 19:00:00",28.52123,76.37138,NO2,4,6,5
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","24-11-2025 19:00:00",28.52123,76.37138,CO,60,68,64
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","24-11-2025 19:00:00",29.536400,75.015800,PM2.5,18,148,62
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","24-11-2025 19:00:00",29.027200,77.062100,PM10,170,270,227
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","24-11-2025 19:00:00",29.027200,77.062100,CO,14,42,32
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","24-11-2025 19:00:00",30.1480566,77.2893471,PM10,140,223,169
India,Haryana,"Yamuna Nagar","Gobind Pura, Yamuna Nagar - HSPCB","24-11-2025 19:00:00",30.1480566,77.2893471,CO,4,106,56
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","24-11-2025 19:00:00",12.9352049,77.6814488,NO2,7,21,14
India,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB","24-11-2025 19:00:00",12.9352049,77.6814488,CO,58,90,77
India,Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB","24-11-2025 19:00:00",12.9756843,77.5660749,PM10,NA,NA,NA
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","24-11-2025 19:00:00",13.029152,77.585901,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","24-11-2025 19:00:00",13.029152,77.585901,OZONE,NA,NA,NA
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","24-11-2025 19:00:00",12.938539,77.590100,NH3,2,3,2
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","24-11-2025 19:00:00",12.938539,77.590100,CO,9,24,17
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","24-11-2025 19:00:00",12.938539,77.590100,OZONE,6,23,19
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","24-11-2025 19:00:00",12.920984,77.584908,SO2,1,23,10
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","24-11-2025 19:00:00",28.360699,76.936090,NH3,16,19,17
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB","24-11-2025 19:00:00",28.360699,76.936090,SO2,6,38,12
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","24-11-2025 19:00:00",28.060249,76.113115,PM2.5,91,326,214
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB","24-11-2025 19:00:00",28.060249,76.113115,PM10,82,187,130
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB","24-11-2025 19:00:00",28.1485564,77.3320667,SO2,12,13,12
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","24-11-2025 19:00:00",28.3153,76.9143,NO2,NA,NA,NA
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","24-11-2025 19:00:00",28.3153,76.9143,NH3,NA,NA,NA
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","24-11-2025 19:00:00",30.7057778,76.8531805555555,CO,20,24,22
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","24-11-2025 19:00:00",29.8006,76.4155,PM10,87,279,151
India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB","24-11-2025 19:00:00",29.8006,76.4155,SO2,30,35,31
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","24-11-2025 19:00:00",29.695300,77.002700,NO2,6,11,10
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","24-11-2025 19:00:00",29.695300,77.002700,NH3,6,7,7
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB","24-11-2025 19:00:00",29.695300,77.002700,SO2,4,62,17
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB","24-11-2025 19:00:00",29.966942,76.875879,NH3,5,5,5
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","24-11-2025 19:00:00",27.9002,76.9938,NO2,21,24,22
India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB","24-11-2025 19:00:00",27.9002,76.9938,OZONE,25,32,28
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","24-11-2025 19:00:00",28.4227,77.0667,NO2,4,9,6
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","24-11-2025 19:00:00",28.4227,77.0667,NH3,6,9,8
